,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr,Score,fund_score,rank,composite_score,Rank
0,Aditya Birla Sl Active Debt Multi-Mgr Fof-Dir Growth,100,100,0.27,₹10Cr,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,4.0,4.0,6.9,2.5324999999999998,0.19965861909978003,731.0,0.36770103284456107,559.0
1,Aditya Birla Sl Arbitrage Fund,1000,1000,0.36,"₹4,288Cr",10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,5.6,5.5,2.5440000000000005,0.22072752894639325,639.0,0.37837633386801894,483.0
2,Aditya Birla Sl Asset Allocator Fof-Dir Growth,1000,1000,0.53,₹157Cr,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,2.0,2.0,9.7,3.5889999999999995,0.27894092635562545,271.0,0.4035404851365474,264.0
3,Aditya Birla Sl Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,₹637Cr,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,-0.7,8.9,1.046,0.20117479185905474,727.0,0.34657060158286,663.0
4,Aditya Birla Sl Balanced Advantage Fund,100,100,0.61,"₹6,386Cr",10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,4.5,4.5,9.7,3.6025,0.2793421574537696,267.0,0.4037443260999071,262.0
5,Aditya Birla Sl Banking&Financial Services-Dirgrowth,1000,1000,1.17,"₹2,384Cr",9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,5.3,9.2,2.1189999999999998,0.23360586230173702,555.0,0.3457539959561602,673.0
6,Aditya Birla Sl Banking&Psu Debt Fund,1000,1000,0.37,"₹7,994Cr",10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking And Psu Mutual Funds,4.5,4.5,7.3,3.697,0.24809897906483563,463.0,0.3949872080679841,343.0
7,Aditya Birla Sl Cef – Global Agri Plan-Direct Growth,1000,1000,1.29,₹15Cr,10,Vinod Narayan Bhat,1.42,1.855,20.18,0.86,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,-10.3,9.3,2.2565,0.20669362450631767,706.0,0.2967596924865535,792.0
8,Aditya Birla Sl Corporate Bond Fund,100,100,0.31,"₹12,120Cr",10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,4.9,7.4,3.4150000000000005,0.2562822851041387,411.0,0.4044732733603342,258.0
9,Aditya Birla Sl Credit Risk Fund,100,100,0.69,"₹1,032Cr",8,Sunaina Da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,8.7,7.2,3.524,0.2571730974169654,402.0,0.3851869172292877,427.0
10,Aditya Birla Sl Digital India Fund,100,1000,0.88,"₹3,338Cr",10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,-14.6,21.1,7.3685,0.3685355333673437,31.0,0.42501906432805847,136.0
11,Aditya Birla Sl Dividend Yield Fund,1000,1000,1.73,₹850Cr,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,6.2,10.0,3.4064999999999994,0.2760949719384458,289.0,0.3379769524616861,695.0
12,Aditya Birla Sl Dynamic Bond Fund,1000,1000,0.64,"₹1,795Cr",10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,7.5,6.0,3.1195,0.22710749657293,604.0,0.36882968397073557,553.0
13,Aditya Birla Sl Equity Advantage Fund,1000,1000,1.14,"₹4,836Cr",10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,-9.9,7.9,1.3535000000000004,0.19250072235780882,753.0,0.29883425263639823,789.0
14,Aditya Birla Sl Equity Hybrid ’95 Fund,100,100,1.01,"₹7,046Cr",10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,-5.7,7.7,2.427,0.2220314310797845,632.0,0.32714338977477003,735.0
15,Aditya Birla Sl Equity Savings Fund,1000,1000,1.21,₹451Cr,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,0.8,6.9,2.3804999999999996,0.214878360483141,668.0,0.32089883395599694,746.0
16,Aditya Birla Sl Flexi Cap Fund,100,100,0.86,"₹15,449Cr",10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,-2.1,10.4,2.6109999999999998,0.24945848725589287,455.0,0.3655658959842741,573.0
17,Aditya Birla Sl Floating Rate Fund,1000,1000,0.23,"₹12,364Cr",10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,5.8,6.8,3.7310000000000003,0.2728213554208843,309.0,0.4197119271588361,169.0
