,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
0,Aditya Birla Sl Active Debt Multi-Mgr Fof-Dir Growth,100,100,0.27,₹10Cr,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4.0,6.5,6.9
1,Aditya Birla Sl Arbitrage Fund,1000,1000,0.36,"₹4,288Cr",10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
2,Aditya Birla Sl Asset Allocator Fof-Dir Growth,1000,1000,0.53,₹157Cr,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7
3,Aditya Birla Sl Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,₹637Cr,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,
4,Aditya Birla Sl Balanced Advantage Fund,100,100,0.61,"₹6,386Cr",10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7
5,Aditya Birla Sl Banking&Financial Services-Dirgrowth,1000,1000,1.17,"₹2,384Cr",9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2
6,Aditya Birla Sl Banking&Psu Debt Fund,1000,1000,0.37,"₹7,994Cr",10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3
7,Aditya Birla Sl Cef – Global Agri Plan-Direct Growth,1000,1000,1.29,₹15Cr,10,Vinod Narayan Bhat,1.42,-,20.18,-,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3
8,Aditya Birla Sl Corporate Bond Fund,100,100,0.31,"₹12,120Cr",10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4
9,Aditya Birla Sl Credit Risk Fund,100,100,0.69,"₹1,032Cr",8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2
